瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C)
710,唱林,2004-01-03,2.5,-3,10.3
710,唱林,2004-01-04,1.3,-4.4,9.2
710,唱林,2004-01-05,2.6,-4.1,11.1
710,唱林,2004-01-06,3.8,-1.5,10.9
710,唱林,2004-01-07,3.4,-1,9
710,唱林,2004-01-10,1.1,-2.9,7.5
710,唱林,2004-01-11,.6,-4.6,8.8
710,唱林,2004-01-12,1,-4.1,7
710,唱林,2004-01-13,-.9,-2.6,.6
710,唱林,2004-01-14,.1,-3,4.2
710,唱林,2004-01-15,.5,-4.9,6.3
710,唱林,2004-01-16,2.4,-1.4,5.6
710,唱林,2004-01-17,1.5,-.3,3.4
710,唱林,2004-01-18,1,-1.6,4.1
710,唱林,2004-01-19,1,-.3,4.1
710,唱林,2004-01-20,.8,-1.1,4.3
710,唱林,2004-01-21,-7,-9.3,-.8
710,唱林,2004-01-22,-7.7,-10.3,-4.9
710,唱林,2004-01-23,-5.2,-11.3,.3
710,唱林,2004-01-24,-4.2,-10,.9
710,唱林,2004-01-25,-3.1,-5.7,1
710,唱林,2004-01-26,-2.5,-7,1.4
710,唱林,2004-01-27,-1.5,-6,3.1
710,唱林,2004-01-28,-.5,-6.1,6.6
710,唱林,2004-01-29,.6,-4.7,7.9
710,唱林,2004-01-30,1.2,-4.7,8.1
710,唱林,2004-01-31,1.4,-5.2,10.8
710,唱林,2004-02-01,4.1,-2.4,11.6
710,唱林,2004-02-03,-.5,-2.2,2.8
710,唱林,2004-02-04,.9,-5.7,6
710,唱林,2004-02-05,-1.2,-3.7,3.1
710,唱林,2004-02-06,-1.1,-7.6,3.7
710,唱林,2004-02-07,-1.3,-4.2,2.1
710,唱林,2004-02-08,.4,-6.9,9.5
710,唱林,2004-02-09,-.5,-4.9,5.3
710,唱林,2004-02-10,-.8,-7.3,7.9
710,唱林,2004-02-11,1.5,-5.4,12.1
710,唱林,2004-02-12,.9,-5.3,9.8
710,唱林,2004-02-13,3.3,-4.5,11.3
710,唱林,2004-02-14,6,.5,10.8
710,唱林,2004-02-15,3.2,-3.7,12.1
710,唱林,2004-02-16,4.9,-3.7,14.8
710,唱林,2004-02-17,6.1,-1.2,13.1
710,唱林,2004-02-18,4.9,-4.7,17.4
710,唱林,2004-02-19,8,.1,19.3
710,唱林,2004-02-20,11.5,.6,21.6
710,唱林,2004-02-21,16.1,13,19.5
710,唱林,2004-02-22,7,3.6,16.6
710,唱林,2004-02-23,4,-.6,9.7
710,唱林,2004-02-24,3.8,-2.4,11.7
710,唱林,2004-02-25,6.2,-1.2,15.7
710,唱林,2004-02-26,2.9,-1,8.6
710,唱林,2004-02-27,2.8,-2.6,10
710,唱林,2004-02-28,6.7,-1.8,13.8
710,唱林,2004-02-29,6.8,3.2,12.4
710,唱林,2004-03-01,4.5,.4,10.5
710,唱林,2004-03-02,2.3,-1.1,7.4
710,唱林,2004-03-03,-1,-3.5,2.9
